legenda;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados
nao_queda_andar;-2.466;-9.189;0.244;9.517;-2.591;-9.155;0.335;9.521;-2.356;-9.222;0.34;9.525;-2.729;-9.117;0.373;9.524;-2.318;-9.194;0.139;9.482;-2.313;-9.184;0.153;9.472;-2.399;-9.199;-0.029;9.506;-1.987;-9.299;-0.12;9.51;-2.112;-9.299;-0.024;9.536;-2.227;-9.246;0.024;9.511;-2.059;-9.27;-0.124;9.497;-2.155;-9.026;0.503;9.293;-2.332;-8.815;0.666;9.143;-3.055;-9.108;0.062;9.606;-2.303;-8.748;0.124;9.047;-4.544;-10.405;-1.748;11.488;-0.785;-13.24;-0.757;13.285;-1.255;-7.068;0.144;7.18;-5.08;-9.309;3.103;11.049;-2.591;-10.989;-0.306;11.295;-3.151;-8.954;-0.019;9.492;1.02;-11.736;0.517;11.792;-1.044;-4.52;0.632;4.682;-1.614;-7.772;4.405;9.078;-3.156;-8.131;-1.341;8.824;-3.701;-9.261;-0.68;9.996;-0.048;-13.221;-0.8;13.245;-2.361;-5.914;-0.129;6.369;-1.513;-8.413;4.774;9.791;-3.395;-8.753;0.297;9.393;-3.103;-9.29;-0.608;9.813;-2.452;-9.055;-0.196;9.383;-1.12;-5.784;0.091;5.893;-6.608;-11.047;4.659;13.69;-3.242;-10.118;-0.776;10.653;-3.136;-8.447;0.129;9.011;-2.284;-8.212;-1.437;8.644;-2.318;-8.384;1.36;8.805;-1.087;-8.552;1.006;8.679;-1.891;-9.625;1.211;9.883;-1.887;-9.275;0.354;9.472;-1.575;-9.448;0.278;9.582;-1.915;-9.261;0.306;9.462;-1.949;-9.218;0.464;9.433;-2.337;-9.309;0.599;9.616;-2.375;-9.16;0.666;9.486;-2.251;-9.266;0.824;9.57;-2.006;-9.28;0.642;9.516;-2.155;-9.203;0.713;9.479
nao_queda_andar;-3.122;-9.012;0.153;9.538;-3.06;-9.026;0.201;9.533;-3.136;-9.127;0.354;9.657;-2.911;-9.093;0.062;9.548;-2.935;-9.17;0.168;9.63;-2.897;-9.074;-0.014;9.525;-2.787;-9.093;-0.081;9.511;-2.667;-9.184;0.043;9.564;-2.825;-9.117;-0.01;9.545;-2.868;-9.098;0.019;9.539;-2.658;-9.194;-0.038;9.57;-2.969;-9.538;0.632;10.01;-2.854;-9.103;0.603;9.559;-4.051;-8.064;-0.46;9.036;-3.261;-8.241;0.215;8.865;-5.626;-10.156;-0.086;11.611;-2.294;-11.55;-1.82;11.915;-3.74;-5.933;0.867;7.066;-3.768;-6.517;4.396;8.718;-2.787;-9.366;0.263;9.775;-2.48;-8.073;0.479;8.459;-1.676;-9.816;1.671;10.098;-1.963;-4.252;0.953;4.779;-5.942;-9.878;5.564;12.801;-2.557;-9.572;2.921;10.329;-2.591;-7.882;-0.144;8.298;-1.245;-9.649;0.01;9.729;-1.01;-4.697;0.397;4.821;-6.675;-12.929;5.784;15.658;-1.59;-12.45;-3.481;13.025;-1.762;-8.356;0.393;8.549;-5.425;-9.433;0.077;10.882;-3.007;-9.227;2.164;9.943;-3.51;-6.771;2.131;7.919;0.177;-4.688;-2.361;5.252;-3.089;-9.045;-0.886;9.599;-2.069;-9.347;-1.389;9.673;0.283;-9.744;-0.053;9.749;-0.852;-8.236;0.584;8.301;-1.877;-9.175;1.441;9.475;-1.202;-8.93;0.407;9.02;-1.135;-9.313;0.201;9.384;-0.982;-9.404;0.168;9.457;-1.858;-9.218;0.249;9.406;-1.633;-9.318;0.192;9.462;-1.982;-9.266;0.45;9.486;-1.81;-9.323;0.464;9.508;-1.776;-9.328;0.445;9.506;-1.738;-9.232;0.383;9.402
nao_queda_andar;-2.064;-9.218;0.187;9.448;-1.949;-9.189;0.249;9.397;-1.872;-9.251;0.192;9.441;-1.887;-9.318;0.316;9.513;-1.537;-9.328;-0.043;9.454;-2.184;-9.189;0.062;9.445;-1.767;-9.347;0.096;9.513;-1.633;-9.222;0.086;9.366;-1.484;-9.366;0.158;9.484;-1.781;-9.294;0.239;9.466;-1.48;-9.347;0.115;9.464;-2.193;-8.724;0.637;9.018;-1.331;-9.4;0.187;9.495;-2.394;-8.835;-0.359;9.16;-2.763;-9.012;-0.503;9.439;-3.673;-10.487;0.603;11.128;-2.303;-6.91;0.991;7.351;-5.291;-8.978;4.008;11.166;0.934;-7.015;-0.848;7.127;-2.959;-7.403;-0.757;8.008;-4.453;-10.64;-1.863;11.684;-3.002;-12.277;0.555;12.651;-2.212;-5.938;1.24;6.457;2.399;-4.87;-4.683;7.169;-3.251;-6.656;-2.552;7.835;-3.601;-10.956;-0.781;11.559;-2.682;-11.123;0.364;11.448;-1.949;-6.22;0.8;6.567;0.043;-14.193;1.465;14.268;-1.566;-7.25;-2.342;7.778;-3.132;-8.547;-1.216;9.184;2.71;-14.767;-1.188;15.061;-1.413;-6.972;-0.316;7.121;-4.463;-9.323;2.638;10.668;-0.876;-10.424;-2.016;10.654;-2.145;-8.844;-0.086;9.101;-2.782;-9.237;-0.541;9.662;-1.403;-8.6;0.086;8.714;-1.398;-8.26;0.599;8.399;-1.322;-9.907;0.962;10.041;-1.935;-9.127;0.268;9.333;-2.126;-9.294;0.048;9.534;-1.561;-9.4;0.034;9.528;-2.476;-9.131;0.168;9.463;-1.896;-9.227;0.115;9.421;-1.944;-9.232;0.172;9.436;-1.867;-9.385;0.292;9.574;-2.322;-9.179;0.445;9.479;-2.179;-9.256;0.517;9.523
nao_queda_andar;-2.38;-9.222;0.086;9.525;-2.466;-9.146;0.163;9.474;-2.586;-9.112;0.206;9.474;-2.413;-9.16;0.115;9.473;-2.389;-9.251;0.081;9.555;-2.203;-9.208;-0.072;9.468;-2.207;-9.323;-0.115;9.581;-2.265;-9.261;-0.225;9.536;-1.887;-9.357;-0.163;9.546;-2.069;-9.275;-0.129;9.504;-2.126;-9.141;-0.077;9.385;-1.882;-9.313;-0.115;9.502;-2.552;-8.897;-0.129;9.257;-2.974;-8.983;-0.364;9.469;-5.875;-10.132;1.911;11.867;-3.826;-7.537;1.939;8.672;-4.104;-13.867;1.911;14.587;-1.307;-8.681;-0.211;8.782;-2.327;-9.366;-0.254;9.654;-2.849;-8.629;-0.273;9.091;-2.016;-4.338;0.608;4.822;-6.632;-12.617;5.578;15.307;-0.168;-12.766;-0.45;12.775;-2.586;-8.188;-0.101;8.587;-2.04;-11.195;-0.388;11.386;-1.025;-5.842;0.967;6.009;-7.092;-13.091;5.296;15.803;-2.035;-5.071;-1.173;5.589;-2.95;-8.045;0.053;8.568;-5.976;-9.352;-0.498;11.109;-5.732;-9.869;1.034;11.459;-2.667;-6.507;1.733;7.243;-0.824;-7.604;-1.925;7.887;-2.686;-7.317;-1.748;7.988;-2.753;-8.428;-1.595;9.008;-0.153;-10.008;-0.551;10.024;-1.302;-7.168;0.622;7.312;-3.505;-9.012;2.212;9.919;-1.628;-8.322;-0.019;8.48;-1.762;-9.323;-0.527;9.503;-1.307;-9.309;-0.326;9.406;-2.116;-9.337;0.244;9.577;-1.47;-9.39;0.172;9.506;-1.757;-9.266;0.163;9.432;-2.15;-9.026;0.249;9.282;-1.499;-9.309;0.168;9.43;-1.93;-9.246;0.177;9.447;-1.776;-9.299;0.177;9.469;-2.025;-9.242;0.421;9.47
nao_queda_andar;-2.37;-9.151;0.421;9.462;-2.217;-9.194;0.488;9.47;-2.361;-9.218;0.498;9.528;-2.399;-9.165;0.235;9.477;-2.184;-9.285;0.177;9.54;-2.279;-9.194;0.211;9.474;-1.925;-9.342;-0.091;9.539;-2.073;-9.251;-0.038;9.481;-1.887;-9.27;-0.081;9.461;-1.997;-9.29;0.067;9.502;-2.184;-9.227;0.12;9.483;-1.7;-9.208;0.005;9.364;-2.705;-9.361;-0.048;9.745;-3.247;-8.566;0.546;9.177;-3.625;-6.33;1.944;7.549;-4.683;-8.394;3.457;10.215;-1.556;-11.487;-0.852;11.624;-2.078;-7.484;0.067;7.768;-3.548;-10.645;-0.723;11.244;0.067;-12.277;-0.546;12.29;-2.547;-6.891;0.603;7.371;-3.701;-14.087;2.634;14.802;-2.6;-9.72;0.393;10.07;-3.093;-9.376;0.124;9.874;1.293;-9.385;1.35;9.57;-0.934;-5.057;0.757;5.197;-3.893;-8.83;3.108;10.138;-2.102;-9.577;1.978;10.002;-3.036;-8.519;-0.33;9.049;-1.834;-10.238;-0.364;10.407;-1.039;-5.373;0.22;5.477;-5.085;-10.999;5.195;13.184;0.038;-7.159;-2.356;7.536;-3.563;-8.911;-0.369;9.604;-2.102;-9.764;-0.455;9.998;1.068;-10.87;-0.177;10.923;-0.852;-6.541;0.517;6.616;-3.448;-9.117;2.289;10.012;-2.772;-9.261;-1.542;9.789;-3.017;-9.309;0.833;9.821;-2.112;-9.069;-0.187;9.314;-1.982;-9.337;-0.091;9.546;-1.863;-9.347;0.283;9.535;-2.083;-9.376;0.512;9.618;-2.332;-9.213;0.359;9.51;-2.14;-9.28;0.273;9.527;-2.203;-9.304;0.378;9.569;-2.327;-9.218;0.283;9.511;-2.27;-9.304;0.215;9.579
nao_queda_andar;-2.227;-9.194;0.158;9.461;-2.078;-9.251;0.139;9.483;-2.303;-9.237;0.263;9.523;-2.145;-9.17;0.215;9.42;-2.069;-9.29;0.048;9.517;-2.073;-9.357;0.057;9.584;-2.303;-9.194;0.153;9.479;-2.049;-9.232;0.101;9.457;-2.14;-9.237;0.158;9.483;-1.939;-9.294;0.206;9.497;-2.236;-9.285;0.034;9.55;-2.643;-9.026;0.072;9.405;-1.69;-7.638;1.604;7.985;-4.448;-6.747;1.465;8.213;-3.855;-8.217;2.701;9.469;-0.977;-10.515;-1.982;10.745;-2.61;-6.852;-0.101;7.333;-4.664;-10.87;-0.441;11.836;-6.531;-10.683;1.733;12.641;-2.605;-5.679;2.361;6.679;1.743;-7.547;-5.377;9.429;-2.227;-6.981;-0.704;7.362;-4.118;-10.874;-1.269;11.697;-2.447;-12.019;-0.029;12.265;-1.815;-6.211;0.9;6.533;-0.584;-15.026;0.153;15.038;-2.389;-7.815;-1.437;8.297;-3.414;-8.155;-1.068;8.905;1.652;-13.843;-1.154;13.989;-2.203;-6.421;0.469;6.805;-0.848;-13.283;7.058;15.066;-2.883;-9.357;0.584;9.808;-2.887;-8.763;-0.656;9.25;-2.011;-9.548;0.383;9.765;-1.087;-5.784;0.091;5.886;-4.156;-10.693;3.62;12.03;-0.982;-6.598;-0.584;6.697;-1.925;-9.136;-0.115;9.338;-1.504;-9.141;-0.613;9.284;-1.863;-9.538;0.077;9.719;-1.575;-9.266;-0.024;9.399;-1.791;-9.371;0.086;9.541;-1.705;-9.256;0.014;9.412;-1.705;-9.29;0.134;9.446;-2.121;-9.155;0.11;9.399;-1.518;-9.371;0.115;9.494;-1.958;-9.227;0.053;9.433;-1.781;-9.29;-0.034;9.459;-1.891;-9.366;0.196;9.557
nao_queda_andar;-2.15;-9.266;0.388;9.52;-2.274;-9.242;0.35;9.524;-1.887;-9.194;0.283;9.39;-2.265;-9.266;0.283;9.543;-1.767;-9.323;0.163;9.49;-2.303;-9.16;0.211;9.448;-1.796;-9.242;0.043;9.415;-1.633;-9.285;-0.086;9.428;-1.595;-9.294;0.038;9.43;-1.441;-9.342;0.139;9.454;-2.102;-9.208;0.369;9.452;-2.112;-9.127;0.225;9.371;-2.591;-9.323;-0.417;9.685;-3.405;-8.691;-0.306;9.339;-5.21;-10.185;0.239;11.443;-2.768;-8.887;1.073;9.37;-4.017;-7.599;2.677;9.003;1.882;-5.061;-0.709;5.446;-3.859;-7.647;-1.049;8.63;-4.075;-11.492;-1.561;12.293;-3.572;-11.617;0.862;12.184;-2.054;-6.062;1.144;6.502;-0.905;-9.184;-1.671;9.379;-1.925;-6.737;-2.289;7.371;-3.591;-8.988;-1.585;9.808;1.164;-12.335;-0.929;12.424;-1.398;-6.972;0.575;7.134;0.397;-11.372;5.947;12.84;-1.901;-8.308;-1.001;8.581;-3.199;-9.29;0.081;9.825;-2.528;-8.811;0.421;9.176;-1.59;-5.243;0.048;5.479;-6.235;-11.138;4.348;13.484;-2.437;-9.002;-1.207;9.404;-2.998;-8.83;-0.029;9.325;-2.164;-9.074;-1.59;9.463;0.273;-8.906;-0.153;8.912;-0.57;-9.246;0.646;9.286;-2.873;-8.581;1.341;9.148;-2.03;-9.323;0.785;9.574;-1.48;-9.342;-0.048;9.459;-1.47;-9.424;-0.072;9.538;-1.791;-9.347;0.211;9.519;-1.839;-9.208;0.254;9.393;-1.987;-9.352;0.445;9.571;-2.116;-9.304;0.57;9.559;-1.877;-9.28;0.541;9.483;-2.27;-9.27;0.685;9.569;-2.179;-9.213;0.632;9.488
nao_queda_andar;-2.169;-9.203;0.364;9.462;-2.193;-9.266;0.397;9.53;-1.92;-9.266;0.211;9.465;-2.413;-9.237;0.445;9.557;-1.676;-9.194;0.043;9.345;-2.203;-9.266;0.263;9.527;-1.858;-9.309;0.043;9.492;-1.815;-9.313;0.101;9.489;-1.834;-9.275;0.043;9.455;-1.887;-9.28;0.158;9.471;-1.958;-9.251;0.124;9.457;-1.887;-9.294;0.187;9.486;-1.748;-9.304;0.057;9.467;-1.8;-9.28;0.124;9.454;-1.791;-9.256;0.072;9.428;-1.805;-9.313;0.053;9.487;-1.786;-9.294;0.072;9.465;-1.824;-9.285;0.086;9.463;-1.891;-9.261;0.043;9.452;-2.399;-9.529;-0.345;9.832;-2.116;-8.313;1.053;8.642;-4.721;-6.914;2.389;8.707;-3.826;-8.255;2.5;9.436;-1.872;-9.601;-1.025;9.835;-2.557;-7.508;-0.713;7.964;-2.624;-10.444;-1.446;10.865;-3.519;-9.778;-0.905;10.431;-1.36;-7.077;1.528;7.367;-0.551;-18.316;3.275;18.614;-1.652;-7.848;0.192;8.022;-2.758;-9.055;-0.91;9.509;-1.13;-9.452;1.317;9.61;-1.264;-5.54;0.182;5.685;-3.73;-8.097;2.705;9.317;-0.728;-11.799;0.182;11.822;-2.442;-8.921;0.239;9.252;-3.864;-9.811;0.163;10.546;-1.326;-4.846;0.22;5.029;-7.187;-12.206;5.641;15.246;-1.068;-8.897;-1.034;9.02;-2.198;-8.289;0.077;8.576;-4.195;-9.582;-1.097;10.517;-7.01;-9.845;1.312;12.157;-1.911;-6.924;0.675;7.214;-3.505;-14.763;1.269;15.226;-2.049;-8.83;-0.685;9.09;-2.231;-9.06;0.33;9.336;-1.499;-9.457;-0.369;9.582;-0.828;-9.304;-0.211;9.343
nao_queda_andar;-1.82;-9.285;0.22;9.464;-1.863;-9.213;0.273;9.403;-1.81;-9.251;0.364;9.434;-1.724;-9.242;0.192;9.403;-1.58;-9.328;0.057;9.461;-1.518;-9.304;-0.005;9.427;-1.499;-9.347;0.048;9.466;-1.302;-9.318;-0.067;9.409;-1.35;-9.385;-0.062;9.482;-1.326;-9.361;0.201;9.457;-1.274;-9.246;-0.077;9.334;-2.126;-9.309;-0.168;9.55;-1.523;-5.612;-0.029;5.815;-2.993;-7.216;3.323;8.49;-3.768;-8.255;2.614;9.444;0.996;-8.346;0.038;8.405;-2.04;-6.881;-1.235;7.282;-4.506;-11.176;-0.986;12.091;-0.867;-12.541;-2.011;12.731;-1.719;-6.977;0.575;7.208;0.757;-16.118;0.067;16.136;-1.997;-6.838;-3.318;7.858;-3.347;-10.664;-2.217;11.394;-1.346;-12.186;-0.455;12.269;-0.843;-6.23;0.373;6.298;-2.677;-20.039;1.695;20.288;-0.943;-7.47;-1.523;7.682;-2.734;-10.396;-1.595;10.867;2.456;-15.998;-2.399;16.362;-1.537;-6.383;0.048;6.566;2.045;-9.266;7.58;12.144;-1.197;-9.548;-0.417;9.632;-2.705;-8.902;0.69;9.329;-2.03;-10.994;-0.445;11.189;-1.039;-6.038;0.632;6.159;-3.428;-9.184;2.887;10.22;-0.996;-7.939;-0.503;8.017;-2.011;-9.448;0.46;9.67;-1.853;-9.438;-0.144;9.619;-2.614;-9.242;-0.148;9.605;-1.709;-9.395;-0.172;9.551;-1.805;-9.27;0.373;9.452;-1.844;-9.256;0.244;9.441;-1.389;-9.371;0.101;9.474;-1.686;-9.294;0.153;9.447;-1.484;-9.266;0.139;9.385;-1.575;-9.361;0.22;9.496;-1.48;-9.266;0.158;9.384;-1.963;-9.28;0.354;9.492
nao_queda_andar;-2.294;-9.199;0.412;9.489;-2.37;-9.141;0.34;9.449;-2.456;-9.146;0.283;9.474;-1.982;-9.256;0.163;9.467;-2.126;-9.218;0.124;9.461;-2.179;-9.304;0.024;9.556;-1.872;-9.237;-0.043;9.425;-2.064;-9.237;0.067;9.465;-2.011;-9.251;-0.034;9.467;-2.069;-9.208;0.115;9.438;-2.413;-9.074;0.086;9.39;-2.787;-9.093;0.115;9.511;-7.819;-13.872;2.519;16.122;-4.865;-6.78;2.423;8.69;-1.896;-9.476;6.436;11.611;-3.754;-10.238;-0.283;10.908;-3.261;-8.772;-0.441;9.369;-1.48;-10.965;-0.493;11.076;-2.102;-3.203;0.302;3.843;-5.641;-9.414;4.846;11.997;-3.4;-10.549;0.603;11.1;-1.47;-8.03;0.168;8.165;-4.195;-8.337;0.967;9.382;-1.757;-5.344;0.934;5.702;-7.422;-13.743;6.268;16.83;-4.324;-11.593;-5.224;13.431;-2.289;-8.59;0.263;8.894;-3.433;-11.502;0.335;12.008;-1.058;-6.297;0.445;6.401;-9.184;-15.945;6.306;19.452;-1.733;-13.034;-4.865;14.02;-2.298;-6.785;0.153;7.166;-3.85;-10.501;0.225;11.187;-2.725;-9.38;1.288;9.853;-3.634;-9.342;3.323;10.561;-1.652;-8.413;-0.321;8.58;-2.581;-9.529;0.168;9.874;-1.748;-9.29;-0.709;9.479;-2.586;-9.208;0.402;9.573;-1.743;-9.309;0.321;9.476;-2.375;-9.246;0.455;9.557;-1.915;-9.299;0.283;9.498;-2.322;-9.222;0.45;9.521;-2.145;-9.218;0.364;9.471;-2.069;-9.199;0.378;9.436;-2.571;-9.179;0.441;9.543;-2.198;-9.213;0.441;9.482;-2.519;-9.213;0.488;9.563;-2.212;-9.203;0.345;9.472
