legenda;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados;dados
nao_queda_sentar;0.048;-9.625;1.714;9.776;-0.124;-9.692;1.666;9.835;0.22;-9.639;1.714;9.793;-0.124;-9.701;1.604;9.834;-0.048;-9.697;1.551;9.82;-0.263;-9.759;1.441;9.868;-0.215;-9.673;1.518;9.793;-0.11;-9.615;1.408;9.718;0;-9.596;1.35;9.691;-0.747;-9.538;1.499;9.684;0.953;-8.519;2.308;8.877;3.223;-6.244;3.893;8.033;6.34;-5.708;7.508;11.364;6.158;-4.132;7.125;10.284;5.191;-2.653;6.934;9.058;5.416;-3.179;7.274;9.61;5.569;-3.036;7.221;9.611;5.42;-3.108;7.096;9.455;5.583;-2.959;7.187;9.57;5.574;-2.974;7.24;9.609;5.502;-3.065;7.192;9.56;5.502;-3.069;7.23;9.59;5.502;-3.069;7.23;9.59;5.502;-3.069;7.23;9.59;5.502;-3.069;7.23;9.59;5.502;-3.069;7.23;9.59;5.502;-3.069;7.23;9.59;5.502;-3.069;7.23;9.59;5.502;-3.069;7.23;9.59;5.502;-3.069;7.23;9.59;5.502;-3.069;7.23;9.59;5.502;-3.069;7.23;9.59;5.502;-3.069;7.23;9.59;5.502;-3.069;7.23;9.59;5.502;-3.069;7.23;9.59;5.502;-3.069;7.23;9.59;5.502;-3.069;7.23;9.59;5.502;-3.069;7.23;9.59;5.502;-3.069;7.23;9.59;5.502;-3.069;7.23;9.59;5.502;-3.069;7.23;9.59;5.502;-3.069;7.23;9.59;5.502;-3.069;7.23;9.59;5.502;-3.069;7.23;9.59;5.502;-3.069;7.23;9.59;5.502;-3.069;7.23;9.59;5.502;-3.069;7.23;9.59;5.502;-3.069;7.23;9.59;5.502;-3.069;7.23;9.59
nao_queda_sentar;0.455;-9.538;1.92;9.74;0.642;-9.505;1.81;9.697;0.594;-9.562;1.628;9.718;0.603;-9.601;1.805;9.788;0.364;-9.668;1.657;9.815;0.345;-9.601;1.599;9.739;0.23;-9.62;1.844;9.798;0.517;-9.596;1.695;9.758;0.158;-9.677;1.633;9.815;0.302;-9.524;1.585;9.66;0.038;-8.346;1.211;8.434;0.948;-6.464;3.275;7.308;9.328;-9.519;10.927;17.235;5.674;-3.117;5.588;8.552;5.818;-2.514;7.412;9.753;5.851;-2.528;7.207;9.621;5.938;-2.351;7.12;9.565;5.722;-2.097;7.077;9.34;5.851;-1.925;7.211;9.484;5.875;-2.389;7.24;9.625;5.899;-2.342;7.216;9.61;5.904;-2.423;7.245;9.655;5.904;-2.423;7.245;9.655;5.904;-2.423;7.245;9.655;5.904;-2.423;7.245;9.655;5.904;-2.423;7.245;9.655;5.904;-2.423;7.245;9.655;5.904;-2.423;7.245;9.655;5.904;-2.423;7.245;9.655;5.904;-2.423;7.245;9.655;5.904;-2.423;7.245;9.655;5.904;-2.423;7.245;9.655;5.904;-2.423;7.245;9.655;5.904;-2.423;7.245;9.655;5.904;-2.423;7.245;9.655;5.904;-2.423;7.245;9.655;5.904;-2.423;7.245;9.655;5.904;-2.423;7.245;9.655;5.904;-2.423;7.245;9.655;5.904;-2.423;7.245;9.655;5.904;-2.423;7.245;9.655;5.904;-2.423;7.245;9.655;5.904;-2.423;7.245;9.655;5.904;-2.423;7.245;9.655;5.904;-2.423;7.245;9.655;5.904;-2.423;7.245;9.655;5.904;-2.423;7.245;9.655;5.904;-2.423;7.245;9.655;5.904;-2.423;7.245;9.655
nao_queda_sentar;0.421;-9.629;1.489;9.753;0.297;-9.673;1.561;9.802;0.694;-9.558;1.513;9.702;0.23;-9.658;1.374;9.758;0.292;-9.768;1.12;9.837;-0.029;-9.725;1.183;9.797;0.057;-9.716;1.288;9.801;0.11;-9.586;1.221;9.664;0.182;-9.72;1.312;9.81;0.22;-9.634;1.274;9.721;0.115;-9.629;1.293;9.717;-0.268;-9.495;0.991;9.551;1.015;-8.509;2.452;8.913;2.974;-5.895;3.965;7.701;10.247;-4.381;10.118;15.052;6.163;-2.931;6.469;9.403;5.32;-2.471;7.312;9.374;5.708;-2.926;7.259;9.687;5.713;-3.002;7.13;9.617;5.818;-2.71;7.207;9.65;5.593;-3.012;7.14;9.556;5.722;-2.801;7.015;9.476;5.488;-2.399;7.001;9.213;5.665;-2.806;7.245;9.615;5.693;-2.772;7.216;9.601;5.684;-2.825;7.192;9.592;5.669;-2.835;7.197;9.59;5.655;-2.806;7.187;9.566;5.636;-2.749;7.159;9.517;5.636;-2.749;7.159;9.517;5.636;-2.749;7.159;9.517;5.636;-2.749;7.159;9.517;5.636;-2.749;7.159;9.517;5.636;-2.749;7.159;9.517;5.636;-2.749;7.159;9.517;5.636;-2.749;7.159;9.517;5.636;-2.749;7.159;9.517;5.636;-2.749;7.159;9.517;5.636;-2.749;7.159;9.517;5.636;-2.749;7.159;9.517;5.636;-2.749;7.159;9.517;5.636;-2.749;7.159;9.517;5.636;-2.749;7.159;9.517;5.636;-2.749;7.159;9.517;5.636;-2.749;7.159;9.517;5.636;-2.749;7.159;9.517;5.636;-2.749;7.159;9.517;5.636;-2.749;7.159;9.517;5.636;-2.749;7.159;9.517
nao_queda_sentar;-0.637;-9.629;1.877;9.831;0.053;-9.534;1.786;9.7;-0.498;-9.653;1.896;9.85;-0.096;-9.582;1.465;9.693;-0.378;-9.567;1.944;9.77;-0.326;-9.634;1.623;9.775;-0.35;-9.548;1.8;9.723;-1.183;-9.251;1.432;9.436;0.704;-7.336;1.662;7.555;2.729;-7.695;3.491;8.88;9.313;-4.927;7.925;13.184;5.32;-4.18;6;9.043;5.617;-3.117;6.742;9.312;5.741;-3.39;6.632;9.404;5.933;-3.261;6.713;9.534;5.808;-2.94;6.728;9.362;5.914;-3.16;6.809;9.556;5.808;-3.347;6.833;9.572;5.942;-3.227;6.776;9.573;5.832;-3.218;6.804;9.522;5.875;-3.323;6.828;9.601;5.804;-3.29;6.886;9.587;5.804;-3.29;6.886;9.587;5.804;-3.29;6.886;9.587;5.804;-3.29;6.886;9.587;5.804;-3.29;6.886;9.587;5.804;-3.29;6.886;9.587;5.804;-3.29;6.886;9.587;5.804;-3.29;6.886;9.587;5.804;-3.29;6.886;9.587;5.804;-3.29;6.886;9.587;5.804;-3.29;6.886;9.587;5.804;-3.29;6.886;9.587;5.804;-3.29;6.886;9.587;5.804;-3.29;6.886;9.587;5.804;-3.29;6.886;9.587;5.804;-3.29;6.886;9.587;5.804;-3.29;6.886;9.587;5.804;-3.29;6.886;9.587;5.804;-3.29;6.886;9.587;5.804;-3.29;6.886;9.587;5.804;-3.29;6.886;9.587;5.804;-3.29;6.886;9.587;5.804;-3.29;6.886;9.587;5.804;-3.29;6.886;9.587;5.804;-3.29;6.886;9.587;5.804;-3.29;6.886;9.587;5.804;-3.29;6.886;9.587;5.804;-3.29;6.886;9.587
nao_queda_sentar;1.48;-9.318;2.03;9.651;1.274;-9.529;1.944;9.808;1.638;-9.467;1.489;9.722;1.231;-9.582;1.772;9.821;1.034;-9.572;1.494;9.743;1.125;-9.486;1.791;9.719;1.197;-9.505;1.604;9.713;0.737;-9.495;1.379;9.623;1.255;-9.543;1.657;9.767;1.087;-9.596;0.939;9.703;0.646;-9.85;1.015;9.923;1.006;-9.519;0.977;9.622;0.273;-7.35;3.745;8.254;-0.048;-4.788;5.851;7.561;9.313;-5.928;9.773;14.744;2.466;-3.587;8.614;9.651;3.917;-2.672;8.159;9.437;3.462;-2.346;8.538;9.507;3.941;-2.835;8.413;9.713;3.764;-2.859;8.193;9.458;3.644;-2.954;8.313;9.545;3.596;-2.686;8.341;9.472;3.706;-2.734;8.38;9.562;3.788;-2.763;8.298;9.531;3.687;-2.734;8.322;9.504;3.701;-2.686;8.289;9.467;3.754;-2.758;8.361;9.571;3.591;-2.476;8.169;9.261;3.591;-2.476;8.169;9.261;3.591;-2.476;8.169;9.261;3.591;-2.476;8.169;9.261;3.591;-2.476;8.169;9.261;3.591;-2.476;8.169;9.261;3.591;-2.476;8.169;9.261;3.591;-2.476;8.169;9.261;3.591;-2.476;8.169;9.261;3.591;-2.476;8.169;9.261;3.591;-2.476;8.169;9.261;3.591;-2.476;8.169;9.261;3.591;-2.476;8.169;9.261;3.591;-2.476;8.169;9.261;3.591;-2.476;8.169;9.261;3.591;-2.476;8.169;9.261;3.591;-2.476;8.169;9.261;3.591;-2.476;8.169;9.261;3.591;-2.476;8.169;9.261;3.591;-2.476;8.169;9.261;3.591;-2.476;8.169;9.261;3.591;-2.476;8.169;9.261
nao_queda_sentar;0.067;-9.62;1.729;9.774;0.024;-9.634;1.705;9.784;0;-9.639;1.642;9.778;-0.029;-9.572;1.69;9.72;-0.038;-9.629;1.863;9.808;0.091;-9.629;1.834;9.803;-0.014;-9.61;1.776;9.773;0.024;-9.606;1.781;9.769;0.067;-9.72;1.738;9.875;0.048;-9.61;1.652;9.751;0.105;-9.634;1.709;9.785;0.235;-9.629;1.709;9.783;0.192;-9.606;1.829;9.78;0.192;-9.668;1.709;9.82;0.163;-9.692;1.633;9.83;0.283;-9.606;1.671;9.754;0.34;-9.567;1.652;9.715;0.397;-9.649;1.681;9.802;0.464;-9.62;1.604;9.764;0.541;-9.634;1.628;9.786;0.479;-9.634;1.743;9.802;0.302;-9.596;1.666;9.744;0.254;-9.615;1.695;9.767;0.206;-9.668;1.652;9.81;0.192;-9.606;1.571;9.735;0.235;-9.663;1.59;9.796;0.22;-9.577;1.657;9.722;0.019;-9.649;1.542;9.771;-0.019;-9.663;1.59;9.793;0.187;-9.62;1.748;9.779;0.23;-9.639;1.695;9.79;0.402;-9.701;1.571;9.836;0.134;-9.596;1.518;9.716;0.172;-9.649;1.475;9.762;0.259;-9.62;1.633;9.761;0.144;-9.629;1.614;9.765;0.091;-9.706;1.561;9.831;-0.144;-9.687;1.427;9.793;-0.306;-9.697;1.504;9.817;-0.397;-9.649;1.427;9.762;-0.292;-9.606;1.432;9.716;-0.192;-9.629;1.494;9.747;-0.182;-9.677;1.561;9.804;-0.201;-9.653;1.542;9.778;-0.326;-9.634;1.355;9.735;-0.22;-9.74;1.46;9.851;-0.168;-9.692;1.542;9.815;-0.144;-9.567;1.408;9.671;-0.201;-9.716;1.451;9.825
nao_queda_sentar;0.134;-9.558;1.58;9.688;-0.144;-9.591;1.652;9.733;0.57;-9.663;1.638;9.817;-0.096;-9.711;1.413;9.814;-0.163;-9.835;1.374;9.932;-0.057;-9.653;1.255;9.735;-0.129;-9.73;1.283;9.815;-0.081;-9.749;1.317;9.838;-0.23;-9.711;1.211;9.789;-0.235;-9.72;1.35;9.817;-0.273;-9.768;1.322;9.861;-0.187;-9.855;1.331;9.946;0.086;-9.064;1.111;9.133;1.867;-7.547;1.786;7.977;3.333;-7.733;4.281;9.446;16.027;-11.416;11.511;22.797;6.091;-3.366;5.904;9.126;5.808;-1.987;7.254;9.503;5.851;-2.868;7.049;9.599;5.938;-2.729;6.953;9.542;6;-2.863;6.986;9.644;5.99;-2.682;6.953;9.561;6.014;-2.796;6.871;9.55;5.909;-2.758;6.857;9.463;5.947;-2.729;6.967;9.558;5.923;-2.725;6.953;9.531;6.038;-2.744;6.981;9.63;6.038;-2.744;6.981;9.63;6.038;-2.744;6.981;9.63;6.038;-2.744;6.981;9.63;6.038;-2.744;6.981;9.63;6.038;-2.744;6.981;9.63;6.038;-2.744;6.981;9.63;6.038;-2.744;6.981;9.63;6.038;-2.744;6.981;9.63;6.038;-2.744;6.981;9.63;6.038;-2.744;6.981;9.63;6.038;-2.744;6.981;9.63;6.038;-2.744;6.981;9.63;6.038;-2.744;6.981;9.63;6.038;-2.744;6.981;9.63;6.038;-2.744;6.981;9.63;6.038;-2.744;6.981;9.63;6.038;-2.744;6.981;9.63;6.038;-2.744;6.981;9.63;6.038;-2.744;6.981;9.63;6.038;-2.744;6.981;9.63;6.038;-2.744;6.981;9.63;6.038;-2.744;6.981;9.63
nao_queda_sentar;-0.297;-9.591;1.753;9.754;-0.187;-9.591;1.829;9.766;-0.129;-9.677;1.7;9.826;-0.005;-9.629;1.767;9.79;-0.115;-9.601;1.676;9.747;-0.263;-9.582;1.566;9.712;-0.306;-9.663;1.633;9.805;-0.263;-9.658;1.571;9.789;-0.747;-9.371;1.135;9.469;-0.445;-8.916;2.227;9.201;1.288;-6.56;3.984;7.782;10.372;-10.836;10.376;18.239;5.234;-3.859;4.76;8.059;4.894;-2.437;7.317;9.134;5.636;-2.84;7.044;9.457;5.813;-2.988;7.044;9.609;5.727;-2.658;7.039;9.456;5.789;-3.05;7.106;9.66;5.708;-2.811;7.005;9.463;5.871;-3.084;7.082;9.702;5.77;-2.873;7.135;9.615;5.756;-3.127;7.35;9.845;5.756;-3.127;7.35;9.845;5.756;-3.127;7.35;9.845;5.756;-3.127;7.35;9.845;5.756;-3.127;7.35;9.845;5.756;-3.127;7.35;9.845;5.756;-3.127;7.35;9.845;5.756;-3.127;7.35;9.845;5.756;-3.127;7.35;9.845;5.756;-3.127;7.35;9.845;5.756;-3.127;7.35;9.845;5.756;-3.127;7.35;9.845;5.756;-3.127;7.35;9.845;5.756;-3.127;7.35;9.845;5.756;-3.127;7.35;9.845;5.756;-3.127;7.35;9.845;5.756;-3.127;7.35;9.845;5.756;-3.127;7.35;9.845;5.756;-3.127;7.35;9.845;5.756;-3.127;7.35;9.845;5.756;-3.127;7.35;9.845;5.756;-3.127;7.35;9.845;5.756;-3.127;7.35;9.845;5.756;-3.127;7.35;9.845;5.756;-3.127;7.35;9.845;5.756;-3.127;7.35;9.845;5.756;-3.127;7.35;9.845;5.756;-3.127;7.35;9.845
nao_queda_sentar;-1.48;-9.51;1.705;9.774;-1.441;-9.567;1.863;9.853;-1.384;-9.467;1.743;9.725;-1.475;-9.486;1.776;9.763;-1.556;-9.567;1.781;9.855;-1.551;-9.519;1.733;9.799;-1.508;-9.505;1.762;9.784;-1.551;-9.452;1.762;9.74;-1.556;-9.534;1.93;9.851;-1.489;-9.644;1.978;9.957;-1.513;-9.5;1.714;9.771;-1.561;-9.457;1.748;9.743;-1.686;-9.486;1.7;9.783;-1.757;-9.538;1.81;9.866;-1.551;-9.61;1.848;9.909;-1.623;-9.538;1.705;9.825;-1.642;-9.438;1.642;9.72;-1.59;-9.486;1.8;9.785;-1.355;-9.534;1.762;9.789;-1.46;-9.61;1.709;9.87;-1.35;-9.505;1.705;9.751;-1.274;-9.538;1.796;9.789;-1.015;-9.601;1.824;9.825;-1.073;-9.606;1.628;9.801;-1.192;-9.591;1.604;9.797;-1.144;-9.582;1.7;9.798;-1.24;-9.481;1.652;9.703;-1.341;-9.495;1.614;9.724;-1.508;-9.5;1.59;9.75;-1.585;-9.519;1.647;9.79;-1.662;-9.562;1.58;9.834;-1.791;-9.562;1.542;9.85;-1.82;-9.5;1.508;9.79;-1.882;-9.5;1.504;9.801;-1.853;-9.553;1.432;9.836;-1.671;-9.519;1.465;9.775;-2.131;-9.515;1.326;9.84;-1.891;-9.558;1.408;9.844;-2.011;-9.562;1.298;9.857;-1.906;-9.519;1.317;9.797;-2.016;-9.524;1.374;9.832;-1.954;-9.577;1.389;9.872;-2.145;-9.615;1.116;9.914;-2.064;-9.151;1.044;9.438;0.153;-8.887;3.122;9.421;1.106;-7.154;4.678;8.619;8.964;-10.065;8.672;16.027;5.195;-5.272;5.957;9.501;4.597;-3.467;6.771;8.888
nao_queda_sentar;0.364;-9.644;1.566;9.777;0.163;-9.658;1.504;9.776;0.8;-9.601;1.595;9.765;0.182;-9.62;1.384;9.721;0.239;-9.72;1.437;9.829;-0.105;-9.673;1.346;9.766;-0.163;-9.677;1.518;9.797;0.393;-9.692;1.556;9.824;-0.369;-9.582;1.092;9.651;1.58;-11.133;1.542;11.35;2.437;-7.661;3.534;8.782;3.903;-7.432;4.65;9.596;5.851;-2.988;6.488;9.234;6.934;-3.481;6.675;10.235;6.191;-3.409;6.565;9.647;6.235;-2.902;6.661;9.574;6.215;-3.213;6.503;9.552;6.258;-3.194;6.651;9.675;6.278;-3.141;6.546;9.598;6.163;-3.141;6.527;9.51;6.263;-3.136;6.622;9.64;6.211;-3.122;6.613;9.594;6.211;-3.232;6.622;9.637;6.211;-3.232;6.622;9.637;6.211;-3.232;6.622;9.637;6.211;-3.232;6.622;9.637;6.211;-3.232;6.622;9.637;6.211;-3.232;6.622;9.637;6.211;-3.232;6.622;9.637;6.211;-3.232;6.622;9.637;6.211;-3.232;6.622;9.637;6.211;-3.232;6.622;9.637;6.211;-3.232;6.622;9.637;6.211;-3.232;6.622;9.637;6.211;-3.232;6.622;9.637;6.211;-3.232;6.622;9.637;6.211;-3.232;6.622;9.637;6.211;-3.232;6.622;9.637;6.211;-3.232;6.622;9.637;6.211;-3.232;6.622;9.637;6.211;-3.232;6.622;9.637;6.211;-3.232;6.622;9.637;6.211;-3.232;6.622;9.637;6.211;-3.232;6.622;9.637;6.211;-3.232;6.622;9.637;6.211;-3.232;6.622;9.637;6.211;-3.232;6.622;9.637;6.211;-3.232;6.622;9.637;6.211;-3.232;6.622;9.637
